# SprintScope Test Export
# Athlete:,Bandar 400mH
# Test ID:,90
# Test Type:,Sprint
# Date:,2026-06-29 11:29:57
# Session Type:,Training
# Venue:,Outdoor
# Weather:,Dry
# Wind:,No Wind
# Surface:,Track
# Footwear:,Spikes
# Zero Offset:,1004.570
# Orth. Offset:,0.000
# Filter:,Butterworth
# Filter Params:,Order: 2, Cutoff: 1.21 Hz
# Distance:,60 m
# Splits Every:,10 m
# Start Position:,Running start
#
Time [s],Distance [m],,Distance_Filtered [m],Velocity [m/s],Acceleration [m/s^2],,Split Distance [m],Delta Time [s],Cumulative Time [s],Split Velocity [m/s]
13.9450,56.4200,,50.2233,9.8549,0.0000,,,,,
13.9500,56.4600,,50.2726,9.8541,-0.1526,,,,,
13.9550,56.5200,,50.3219,9.8541,0.0000,,,,,
13.9600,56.5600,,50.3712,9.8541,0.0000,,,,,
13.9650,56.6200,,50.4204,9.8541,0.0000,,,,,
13.9700,56.6600,,50.4697,9.8541,0.0000,,,,,
13.9750,56.6900,,50.5190,9.8541,0.0000,,,,,
13.9800,56.7700,,50.5682,9.8541,0.0000,,,,,
13.9850,56.8100,,50.6175,9.8541,0.0000,,,,,
13.9900,56.8500,,50.6668,9.8541,0.0000,,,,,
13.9950,56.9200,,50.7160,9.8541,0.0000,,,,,
14.0000,56.9500,,50.7653,9.8541,0.0000,,,,,
14.0050,57.0300,,50.8146,9.8541,0.0000,,,,,
14.0100,57.0500,,50.8639,9.8541,0.0000,,,,,
14.0150,57.0900,,50.9131,9.8541,0.0000,,,,,
14.0200,57.1500,,50.9624,9.8541,0.0000,,,,,
14.0250,57.1900,,51.0117,9.8541,0.0000,,,,,
14.0300,57.2500,,51.0609,9.8541,0.0000,,,,,
14.0350,57.2900,,51.1102,9.8541,0.0000,,,,,
14.0400,57.3500,,51.1595,9.8541,0.0000,,,,,
14.0450,57.3900,,51.2088,9.8534,-0.1526,,,,,
14.0500,57.4500,,51.2580,9.8526,-0.1526,,,,,
14.0550,57.4800,,51.3073,9.8518,-0.1526,,,,,
14.0600,57.5500,,51.3565,9.8511,-0.1526,,,,,
14.0650,57.5900,,51.4058,9.8503,-0.1526,,,,,
14.0700,57.6500,,51.4550,9.8495,-0.1526,,,,,
14.0750,57.7200,,51.5043,9.8488,-0.1526,,,,,
14.0800,57.7400,,51.5535,9.8480,-0.1526,,,,,
14.0850,57.8000,,51.6027,9.8465,-0.3052,,,,,
14.0900,57.8300,,51.6520,9.8450,-0.3052,,,,,
14.0950,57.9000,,51.7012,9.8434,-0.3052,,,,,
14.1000,57.9700,,51.7504,9.8419,-0.3052,,,,,
14.1050,58.0200,,51.7996,9.8404,-0.3052,,,,,
14.1100,58.0600,,51.8488,9.8389,-0.3052,,,,,
14.1150,58.0900,,51.8980,9.8373,-0.3052,,,,,
14.1200,58.1400,,51.9472,9.8358,-0.3052,,,,,
14.1250,58.2100,,51.9963,9.8343,-0.3052,,,,,
14.1300,58.2500,,52.0455,9.8328,-0.3052,,,,,
14.1350,58.3300,,52.0946,9.8305,-0.4578,,,,,
14.1400,58.3700,,52.1438,9.8282,-0.4578,,,,,
14.1450,58.4100,,52.1929,9.8259,-0.4578,,,,,
14.1500,58.4600,,52.2420,9.8236,-0.4578,,,,,
14.1550,58.5000,,52.2911,9.8221,-0.3052,,,,,
14.1600,58.5300,,52.3402,9.8206,-0.3052,,,,,
14.1650,58.6000,,52.3893,9.8190,-0.3052,,,,,
14.1700,58.6500,,52.4384,9.8175,-0.3052,,,,,
14.1750,58.6900,,52.4875,9.8160,-0.3052,,,,,
14.1800,58.7400,,52.5366,9.8145,-0.3052,,,,,
14.1850,58.7800,,52.5857,9.8137,-0.1526,,,,,
14.1900,58.8300,,52.6347,9.8129,-0.1526,,,,,
14.1950,58.8500,,52.6838,9.8122,-0.1526,,,,,
14.2000,58.9200,,52.7328,9.8114,-0.1526,,,,,
14.2050,58.9800,,52.7819,9.8106,-0.1526,,,,,
14.2100,59.0200,,52.8309,9.8099,-0.1526,,,,,
14.2150,59.0600,,52.8800,9.8099,0.0000,,,,,
14.2200,59.1300,,52.9290,9.8099,0.0000,,,,,
14.2250,59.1700,,52.9781,9.8099,0.0000,,,,,
14.2300,59.2100,,53.0271,9.8099,0.0000,,,,,
14.2350,59.2700,,53.0762,9.8099,0.0000,,,,,
14.2400,59.3000,,53.1252,9.8099,0.0000,,,,,
14.2450,59.3800,,53.1743,9.8106,0.1526,,,,,
14.2500,59.4100,,53.2233,9.8114,0.1526,,,,,
14.2550,59.4200,,53.2724,9.8122,0.1526,,,,,
14.2600,59.5100,,53.3215,9.8129,0.1526,,,,,
14.2650,59.5500,,53.3705,9.8137,0.1526,,,,,
14.2700,59.6400,,53.4196,9.8145,0.1526,,,,,
14.2750,59.6600,,53.4687,9.8152,0.1526,,,,,
14.2800,59.7300,,53.5178,9.8160,0.1526,,,,,
14.2850,59.7600,,53.5668,9.8167,0.1526,,,,,
14.2900,59.8100,,53.6159,9.8175,0.1526,,,,,
14.2950,59.8400,,53.6650,9.8183,0.1526,,,,,
14.3000,59.9000,,53.7141,9.8190,0.1526,,,,,
14.3050,59.9600,,53.7632,9.8198,0.1526,,,,,
14.3100,59.9800,,53.8123,9.8206,0.1526,,,,,
14.3150,60.0400,,53.8614,9.8213,0.1526,,,,,
14.3200,60.0700,,53.9105,9.8221,0.1526,,,,,
14.3250,60.1400,,53.9597,9.8228,0.1526,,,,,
14.3300,60.1800,,54.0088,9.8236,0.1526,,,,,
14.3350,60.2300,,54.0579,9.8244,0.1526,,,,,
14.3400,60.3000,,54.1070,9.8251,0.1526,,,,,
14.3450,60.3400,,54.1562,9.8259,0.1526,,,,,
14.3500,60.4300,,54.2053,9.8267,0.1526,,,,,
14.3550,60.4500,,54.2544,9.8274,0.1526,,,,,
14.3600,60.4900,,54.3036,9.8274,0.0000,,,,,
14.3650,60.5400,,54.3527,9.8274,0.0000,,,,,
14.3700,60.6000,,54.4018,9.8274,0.0000,,,,,
14.3750,60.6400,,54.4510,9.8274,0.0000,,,,,
14.3800,60.7000,,54.5001,9.8274,0.0000,,,,,
14.3850,60.7400,,54.5492,9.8274,0.0000,,,,,
14.3900,60.8200,,54.5984,9.8274,0.0000,,,,,
14.3950,60.8600,,54.6475,9.8274,0.0000,,,,,
14.4000,60.9000,,54.6967,9.8274,0.0000,,,,,
14.4050,60.9800,,54.7458,9.8267,-0.1526,,,,,
14.4100,61.0200,,54.7949,9.8259,-0.1526,,,,,
14.4150,61.0800,,54.8440,9.8251,-0.1526,,,,,
14.4200,61.0900,,54.8932,9.8244,-0.1526,,,,,
14.4250,61.1100,,54.9423,9.8236,-0.1526,,,,,
14.4300,61.2000,,54.9914,9.8228,-0.1526,,,,,
14.4350,61.2400,,55.0405,9.8221,-0.1526,,,,,
14.4400,61.2900,,55.0896,9.8213,-0.1526,,,,,
14.4450,61.3200,,55.1387,9.8213,0.0000,,,,,
14.4500,61.3900,,55.1878,9.8213,0.0000,,,,,
14.4550,61.4600,,55.2369,9.8213,0.0000,,,,,
14.4600,61.4700,,55.2860,9.8213,0.0000,,,,,
14.4650,61.5300,,55.3351,9.8213,0.0000,,,,,
14.4700,61.5800,,55.3843,9.8213,0.0000,,,,,
14.4750,61.6200,,55.4334,9.8213,0.0000,,,,,
14.4800,61.6800,,55.4825,9.8213,0.0000,,,,,
14.4850,61.7600,,55.5316,9.8213,0.0000,,,,,
14.4900,61.7600,,55.5807,9.8213,0.0000,,,,,
14.4950,61.8300,,55.6298,9.8221,0.1526,,,,,
14.5000,61.8900,,55.6789,9.8228,0.1526,,,,,
14.5050,61.9300,,55.7280,9.8236,0.1526,,,,,
14.5100,61.9600,,55.7771,9.8244,0.1526,,,,,
14.5150,62.0000,,55.8263,9.8251,0.1526,,,,,
14.5200,62.0700,,55.8754,9.8259,0.1526,,,,,
14.5250,62.1100,,55.9245,9.8267,0.1526,,,,,
14.5300,62.1400,,55.9737,9.8274,0.1526,,,,,
14.5350,62.1900,,56.0228,9.8282,0.1526,,,,,
14.5400,62.2500,,56.0720,9.8297,0.3052,,,,,
14.5450,62.3100,,56.1211,9.8312,0.3052,,,,,
14.5500,62.3700,,56.1703,9.8328,0.3052,,,,,
14.5550,62.4300,,56.2195,9.8343,0.3052,,,,,
14.5600,62.4400,,56.2686,9.8358,0.3052,,,,,
14.5650,62.4900,,56.3178,9.8373,0.3052,,,,,
14.5700,62.5400,,56.3670,9.8389,0.3052,,,,,
14.5750,62.6000,,56.4162,9.8404,0.3052,,,,,
14.5800,62.6500,,56.4654,9.8419,0.3052,,,,,
14.5850,62.7000,,56.5146,9.8434,0.3052,,,,,
14.5900,62.7600,,56.5639,9.8450,0.3052,,,,,
14.5950,62.7900,,56.6131,9.8457,0.1526,,,,,
14.6000,62.8700,,56.6623,9.8465,0.1526,,,,,
14.6050,62.8900,,56.7116,9.8473,0.1526,,,,,
14.6100,62.9300,,56.7608,9.8480,0.1526,,,,,
14.6150,63.0200,,56.8100,9.8488,0.1526,,,,,
14.6200,63.0600,,56.8593,9.8495,0.1526,,,,,
14.6250,63.1100,,56.9085,9.8503,0.1526,,,,,
14.6300,63.1500,,56.9578,9.8511,0.1526,,,,,
14.6350,63.2000,,57.0071,9.8518,0.1526,,,,,
14.6400,63.2500,,57.0563,9.8518,0.0000,,,,,
14.6450,63.3000,,57.1056,9.8518,0.0000,,,,,
14.6500,63.3600,,57.1548,9.8518,0.0000,,,,,
14.6550,63.3900,,57.2041,9.8518,0.0000,,,,,
14.6600,63.4500,,57.2534,9.8518,0.0000,,,,,
14.6650,63.5000,,57.3026,9.8518,0.0000,,,,,
14.6700,63.5500,,57.3519,9.8518,0.0000,,,,,
14.6750,63.5900,,57.4011,9.8518,0.0000,,,,,
14.6800,63.6500,,57.4504,9.8518,0.0000,,,,,
14.6850,63.6900,,57.4996,9.8511,-0.1526,,,,,
14.6900,63.7400,,57.5489,9.8503,-0.1526,,,,,
14.6950,63.7700,,57.5981,9.8495,-0.1526,,,,,
14.7000,63.8200,,57.6474,9.8488,-0.1526,,,,,
14.7050,63.8700,,57.6966,9.8480,-0.1526,,,,,
14.7100,63.9400,,57.7459,9.8473,-0.1526,,,,,
14.7150,63.9600,,57.7951,9.8457,-0.3052,,,,,
14.7200,63.9900,,57.8443,9.8442,-0.3052,,,,,
14.7250,64.0900,,57.8935,9.8427,-0.3052,,,,,
14.7300,64.1300,,57.9427,9.8412,-0.3052,,,,,
14.7350,64.2000,,57.9919,9.8389,-0.4578,,,,,
14.7400,64.2100,,58.0411,9.8366,-0.4578,,,,,
14.7450,64.2700,,58.0903,9.8343,-0.4578,,,,,
14.7500,64.3200,,58.1394,9.8312,-0.6104,,,,,
14.7550,64.3400,,58.1886,9.8282,-0.6104,,,,,
14.7600,64.4100,,58.2377,9.8251,-0.6104,,,,,
14.7650,64.4400,,58.2868,9.8213,-0.7629,,,,,
14.7700,64.4800,,58.3359,9.8175,-0.7629,,,,,
14.7750,64.5300,,58.3850,9.8129,-0.9155,,,,,
14.7800,64.5500,,58.4340,9.8083,-0.9155,,,,,
14.7850,64.6100,,58.4830,9.8030,-1.0681,,,,,
14.7900,64.6600,,58.5320,9.7969,-1.2207,,,,,
14.7950,64.7300,,58.5810,9.7900,-1.3733,,,,,
14.8000,64.7900,,58.6299,9.7832,-1.3733,,,,,
14.8050,64.8200,,58.6788,9.7755,-1.5259,,,,,
14.8100,64.8900,,58.7276,9.7672,-1.6785,,,,,
14.8150,64.9200,,58.7764,9.7580,-1.8311,,,,,
14.8200,64.9700,,58.8251,9.7473,-2.1362,,,,,
14.8250,65.0100,,58.8738,9.7359,-2.2888,,,,,
14.8300,65.0700,,58.9224,9.7237,-2.4414,,,,,
14.8350,65.1300,,58.9710,9.7107,-2.5940,,,,,
14.8400,65.1800,,59.0194,9.6962,-2.8992,,,,,
14.8450,65.1900,,59.0679,9.6809,-3.0518,,,,,
14.8500,65.2400,,59.1162,9.6642,-3.3569,,,,,
14.8550,65.3300,,59.1644,9.6466,-3.5095,,,,,
14.8600,65.3600,,59.2125,9.6275,-3.8147,,,,,
14.8650,65.4200,,59.2606,9.6069,-4.1199,,,,,
14.8700,65.4700,,59.3085,9.5848,-4.4250,,,,,
14.8750,65.5000,,59.3563,9.5619,-4.5776,,,,,
14.8800,65.5500,,59.4040,9.5375,-4.8828,,,,,
14.8850,65.5800,,59.4516,9.5116,-5.1880,,,,,
14.8900,65.6800,,59.4990,9.4841,-5.4932,,,,,
14.8950,65.7100,,59.5463,9.4551,-5.7983,,,,,
14.9000,65.7500,,59.5934,9.4246,-6.1035,,,,,
14.9050,65.8100,,59.6403,9.3925,-6.4087,,,,,
14.9100,65.8400,,59.6871,9.3582,-6.8665,,,,,
14.9150,65.9000,,59.7337,9.3224,-7.1716,,,,,
14.9200,65.9500,,59.7802,9.2850,-7.4768,,,,,
14.9250,66.0000,,59.8264,9.2461,-7.7820,,,,,
14.9300,66.0500,,59.8724,9.2049,-8.2397,,,,,
14.9350,66.0900,,59.9182,9.1621,-8.5449,,,,,
14.9400,66.1500,,59.9638,9.1171,-9.0027,,,,,
14.9450,66.2000,,60.0092,9.0706,-9.3079,,,,,
14.9500,66.2300,,60.0543,9.0218,-9.7656,,,,,
14.9550,66.2900,,60.0991,8.9714,-10.0708,,,,,
14.9600,66.3200,,60.1437,8.9188,-10.5286,,,,,
14.9650,66.3700,,60.1881,8.8646,-10.8337,,,,,
14.9700,66.4200,,60.2321,8.8081,-11.2915,,,,,
14.9750,66.4300,,60.2758,8.7502,-11.5967,,,,,
14.9800,66.5300,,60.3193,8.6899,-12.0544,,,,,
14.9850,66.5700,,60.3624,8.6281,-12.3596,,,,,
14.9900,66.6000,,60.4053,8.5640,-12.8174,,,,,
14.9950,66.6400,,60.4477,8.4984,-13.1226,,,,,
15.0000,66.7100,,60.4899,8.4305,-13.5803,,,,,
15.0050,66.7300,,60.5317,8.3611,-13.8855,,,,,
15.0100,66.8000,,60.5732,8.2893,-14.3433,,,,,
15.0150,66.8000,,60.6142,8.2161,-14.6484,,,,,
15.0200,66.8400,,60.6549,8.1406,-15.1062,,,,,
15.0250,66.8700,,60.6953,8.0635,-15.4114,,,,,
15.0300,66.9100,,60.7352,7.9842,-15.8691,,,,,
15.0350,66.9400,,60.7747,7.9033,-16.1743,,,,,
15.0400,67.0200,,60.8138,7.8201,-16.6321,,,,,
15.0450,67.0500,,60.8525,7.7354,-16.9373,,,,,
15.0500,67.1400,,60.8907,7.6485,-17.3950,,,,,
15.0550,67.2000,,60.9285,7.5600,-17.7002,,,,,
15.0600,67.2400,,60.9659,7.4692,-18.1580,,,,,
15.0650,67.2800,,61.0027,7.3769,-18.4631,,,,,
15.0700,67.3400,,61.0392,7.2823,-18.9209,,,,,
15.0750,67.3500,,61.0751,7.1861,-19.2261,,,,,
15.0800,67.4300,,61.1105,7.0885,-19.5312,,,,,
15.0850,67.4800,,61.1455,6.9893,-19.8364,,,,,
15.0900,67.5300,,61.1799,6.8886,-20.1416,,,,,
15.0950,67.5800,,61.2138,6.7871,-20.2942,,,,,
15.1000,67.6300,,61.2473,6.6849,-20.4468,,,,,
15.1050,67.6800,,61.2802,6.5811,-20.7520,,,,,
15.1100,67.7500,,61.3126,6.4774,-20.7520,,,,,
15.1150,67.8100,,61.3444,6.3728,-20.9045,,,,,
15.1200,67.8600,,61.3758,6.2683,-20.9045,,,,,
15.1250,67.9100,,61.4066,6.1638,-20.9045,,,,,
15.1300,67.9400,,61.4369,6.0593,-20.9045,,,,,
15.1350,67.9900,,61.4667,5.9555,-20.7520,,,,,
15.1400,68.0400,,61.4959,5.8525,-20.5994,,,,,
15.1450,68.0800,,61.5247,5.7510,-20.2942,,,,,
15.1500,68.1400,,61.5529,5.6511,-19.9890,,,,,
15.1550,68.1800,,61.5807,5.5534,-19.5312,,,,,
15.1600,68.2200,,61.6080,5.4581,-19.0735,,,,,
15.1650,68.2900,,61.6348,5.3658,-18.4631,,,,,
15.1700,68.3100,,61.6612,5.2765,-17.8528,,,,,
15.1750,68.3500,,61.6872,5.1910,-17.0898,,,,,
15.1800,68.4400,,61.7127,5.1094,-16.3269,,,,,
15.1850,68.4600,,61.7379,5.0323,-15.4114,,,,,
15.1900,68.5400,,61.7627,4.9606,-14.3433,,,,,
15.1950,68.5900,,61.7871,4.8950,-13.1226,,,,,
15.2000,68.6000,,61.8113,4.8355,-11.9019,,,,,
15.2050,68.6900,,61.8352,4.7829,-10.5286,,,,,
15.2100,68.7800,,61.8589,4.7379,-9.0027,,,,,
15.2150,68.8300,,61.8824,4.7012,-7.3242,,,,,
15.2200,68.8900,,61.9058,4.6730,-5.6458,,,,,
15.2250,68.9800,,61.9291,4.6547,-3.6621,,,,,
15.2300,68.9900,,61.9523,4.6471,-1.5259,,,,,
15.2350,68.9900,,61.9756,4.6509,0.7629,,,,,
15.2400,69.0800,,61.9989,4.6661,3.0518,,,,,
15.2450,69.1200,,62.0224,4.6944,5.6458,,,,,
15.2500,69.1200,,62.0461,4.7371,8.5449,,,,,
15.2550,69.2100,,62.0700,4.7943,11.4441,,,,,
15.2600,69.2700,,62.0944,4.8676,14.6484,,,,,
15.2650,69.2800,,62.1191,4.9576,18.0054,,,,,
15.2700,69.2800,,62.1445,5.0652,21.5149,,,,,
15.2750,69.3500,,62.1704,5.1910,25.1770,,,,,
15.2800,69.3700,,62.1971,5.3368,29.1443,,,,,
15.2850,69.4100,,62.2246,5.5031,33.2642,,,,,
15.2900,69.4700,,62.2531,5.6908,37.5366,,,,,
15.2950,69.5500,,62.2826,5.9013,42.1143,,,,,
15.3000,69.5800,,62.3133,6.1348,46.6919,,,,,
15.3050,69.6100,,62.3452,6.3934,51.7273,,,,,
15.3100,69.6700,,62.3786,6.6772,56.7627,,,,,
15.3150,69.7000,,62.4136,6.9885,62.2559,,,,,
15.3200,69.8200,,62.4502,7.3273,67.7490,,,,,
15.3250,69.8500,,62.4887,7.6950,73.5474,,,,,
15.3300,69.9100,,62.5291,8.0933,79.6509,,,,,
15.3350,69.9400,,62.5718,8.5228,85.9070,,,,,
15.3400,69.9900,,62.6167,8.9851,92.4683,,,,,
15.3450,69.9900,,62.6641,9.4810,99.1821,,,,,
15.3500,70.0500,,62.7141,10.0121,106.2012,,,,,
15.3550,70.1000,,62.7670,10.5789,113.3728,,,,,
15.3600,70.1300,,62.8230,11.1832,120.8496,,,,,
15.3650,70.1700,,62.8821,11.8256,128.4790,,,,,
15.3700,70.2000,,62.9446,12.5076,136.4136,,,,,
15.3750,70.2800,,63.0108,13.2301,144.5007,,,,,
15.3800,70.3100,,63.0807,13.9946,152.8931,,,,,
15.3850,70.3400,,63.1548,14.8018,161.4380,,,,,
15.3900,70.3800,,63.2330,15.6525,170.1355,,,,,
15.3950,70.4500,,63.3158,16.5482,179.1382,,,,,
15.4000,70.4500,,63.4032,17.4896,188.2935,,,,,
15.4050,70.5200,,63.4956,18.4776,197.6013,,,,,
15.4100,70.5700,,63.5932,19.5129,207.0618,,,,,
15.4150,70.6100,,63.6961,20.5971,216.8274,,,,,
15.4200,70.6500,,63.8048,21.7300,226.5930,,,,,
15.4250,70.6800,,63.9194,22.9134,236.6638,,,,,
15.4300,70.7600,,64.0401,24.1470,246.7346,,,,,
15.4350,70.7800,,64.1673,25.4318,256.9580,,,,,
15.4400,70.8400,,64.3011,26.7685,267.3340,,,,,
15.4450,70.9000,,64.4419,28.1570,277.7100,,,,,
15.4500,70.9600,,64.5899,29.5975,288.0859,,,,,
15.4550,70.9900,,64.7453,31.0913,298.7671,,,,,
15.4600,71.0200,,64.9085,32.6385,309.4482,,,,,
15.4650,71.0900,,65.0797,34.2377,319.8242,,,,,
15.4700,71.1200,,65.2592,35.8902,330.5054,,,,,
15.4750,71.1900,,65.4471,37.5946,340.8813,,,,,
15.4800,71.2400,,65.6439,39.3524,351.5625,,,,,
15.4850,71.2700,,65.8497,41.1621,361.9385,,,,,
15.4900,71.3600,,66.0648,43.0222,372.0093,,,,,
15.4950,71.3600,,66.2895,44.9326,382.0801,,,,,
15.5000,71.4300,,66.5239,46.8933,392.1509,,,,,
15.5050,71.4600,,66.7684,48.9014,401.6113,,,,,
15.5100,71.5300,,67.0232,50.9567,411.0718,,,,,
15.5150,71.5500,,67.2885,53.0579,420.2271,,,,,
15.5200,71.5800,,67.5645,55.2032,429.0771,,,,,
15.5250,71.6200,,67.8515,57.3898,437.3169,,,,,
15.5300,71.6600,,68.1496,59.6161,445.2515,,,,,
15.5350,71.7500,,68.4590,61.8805,452.8809,,,,,
15.5400,71.7700,,68.7799,64.1785,459.5947,,,,,
15.5450,71.7800,,69.1124,66.5085,466.0034,,,,,
15.5500,71.8500,,69.4567,68.8675,471.8018,,,,,
15.5550,71.8700,,69.8130,71.2509,476.6846,,,,,
15.5600,71.9500,,70.1813,73.6557,480.9570,,,,,
15.5650,71.9700,,70.5617,76.0757,484.0088,,,,,
15.5700,72.0300,,70.9542,78.5095,486.7554,,,,,
15.5750,72.0400,,71.3589,80.9494,487.9761,,,,,
15.5800,72.1300,,71.7759,83.3923,488.5864,,,,,
15.5850,72.1500,,72.2051,85.8322,487.9761,,,,,
15.5900,72.2100,,72.6464,88.2629,486.1450,,,,,
15.5950,72.2900,,73.0998,90.6784,483.0933,,,,,
15.6000,72.3000,,73.5651,93.0710,478.5156,,,,,
15.6050,72.3800,,74.0423,95.4346,472.7173,,,,,
15.6100,72.4200,,74.5311,97.7615,465.3931,,,,,
15.6150,72.4600,,75.0313,100.0443,456.5430,,,,,
15.6200,72.4900,,75.5427,102.2736,445.8618,,,,,
15.6250,72.5600,,76.0649,104.4403,433.3496,,,,,
15.6300,72.5900,,76.5976,106.5353,419.0063,,,,,
15.6350,72.6100,,77.1403,108.5495,402.8320,,,,,
15.6400,72.6700,,77.6927,110.4721,384.5215,,,,,
15.6450,72.7000,,78.2542,112.2925,364.0747,,,,,
15.6500,72.7500,,78.8242,113.9999,341.4917,,,,,
15.6550,72.8000,,79.4021,115.5823,316.4673,,,,,
15.6600,72.8400,,79.9872,117.0273,289.0015,,,,,
15.6650,72.8800,,80.5788,118.3212,258.7891,,,,,
15.6700,72.9200,,81.1761,119.4504,225.8301,,,,,
15.6750,72.9600,,81.7781,120.4025,190.4297,,,,,
15.6800,73.0200,,82.3839,121.1609,151.6724,,,,,
15.6850,73.1100,,82.9924,121.7117,110.1685,,,,,
15.6900,73.1300,,83.6026,122.0398,65.6128,,,,,
15.6950,73.1800,,84.2133,122.1283,17.7002,,,,,
15.7000,73.2100,,84.8231,121.9589,-33.8745,,,,,
15.7050,73.2400,,85.4306,121.5164,-88.5010,,,,,
15.7100,73.2900,,86.0346,120.7809,-147.0947,,,,,
15.7150,73.3700,,86.6332,119.7357,-209.0454,,,,,
15.7200,73.4100,,87.2250,118.3609,-274.9634,,,,,
15.7250,73.4800,,87.8082,116.6367,-344.8486,,,,,
15.7300,73.4800,,88.3809,114.5432,-418.7012,,,,,
15.7350,73.5300,,88.9412,112.0590,-496.8262,,,,,
15.7400,73.5900,,89.4871,109.1644,-578.9185,,,,,
15.7450,73.6300,,90.0162,105.8365,-665.5884,,,,,
15.7500,73.6500,,90.5265,102.0538,-756.5308,,,,,
15.7550,73.7500,,91.0155,97.7921,-852.3560,,,,,
15.7600,73.7700,,91.4806,93.0298,-952.4536,,,,,
15.7650,73.8400,,91.9193,87.7426,-1057.4341,,,,,
15.7700,73.8500,,92.3289,81.9061,-1167.2974,,,,,
15.7750,144.2200,,92.7064,75.5005,-1281.1279,,,,,
15.7800,144.2600,,93.0490,68.5226,-1395.5688,,,,,
15.7850,144.3800,,93.3540,60.9970,-1505.1270,,,,,
15.7900,144.3800,,93.6188,52.9633,-1606.7505,,,,,
15.7950,144.3800,,93.8411,44.4672,-1699.2188,,,,,
15.8000,144.3300,,94.0189,35.5545,-1782.5317,,,,,
15.8050,144.3200,,94.1502,26.2695,-1856.9946,,,,,
15.8100,144.3200,,94.2335,16.6565,-1922.6074,,,,,
15.8150,144.3200,,94.2673,6.7596,-1979.3701,,,,,
15.8200,144.3100,,94.2504,-3.3768,-2027.2827,,,,,
15.8250,144.3200,,94.1819,-13.7070,-2066.0400,,,,,
15.8300,144.3200,,94.0610,-24.1882,-2096.2524,,,,,
15.8350,144.3100,,93.8871,-34.7763,-2117.6147,,,,,
15.8400,144.3100,,93.6599,-45.4254,-2129.8218,,,,,
15.8450,144.3100,,93.3795,-56.0928,-2133.4839,,,,,
15.8500,144.3500,,93.0458,-66.7313,-2127.6855,,,,,
15.8550,144.3500,,92.6593,-77.2980,-2113.3423,,,,,
15.8600,144.3000,,92.2206,-87.7457,-2089.5386,,,,,
15.8650,144.3500,,91.7305,-98.0286,-2056.5796,,,,,
15.8700,144.3000,,91.1900,-108.1009,-2014.4653,,,,,
15.8750,144.2800,,90.6004,-117.9169,-1963.1958,,,,,
15.8800,75.0600,,89.9632,-127.4323,-1903.0762,,,,,
15.8850,75.0600,,89.2801,-136.6211,-1837.7686,,,,,
15.8900,75.0800,,88.5527,-145.4834,-1772.4609,,,,,
15.8950,75.0800,,87.7825,-154.0344,-1710.2051,,,,,
15.9000,75.0900,,86.9710,-162.2940,-1651.9165,,,,,
15.9050,75.1400,,86.1196,-170.2820,-1597.5952,,,,,
15.9100,75.1400,,85.2296,-178.0167,-1546.9360,,,,,
15.9150,75.1400,,84.3020,-185.5148,-1499.6338,,,,,
15.9200,75.1900,,83.3380,-192.7917,-1455.3833,,,,,
15.9250,75.2100,,82.3387,-199.8642,-1414.4897,,,,,
15.9300,75.2600,,81.3050,-206.7474,-1376.6479,,,,,
15.9350,75.3100,,80.2377,-213.4537,-1341.2476,,,,,
15.9400,75.3400,,79.1377,-219.9951,-1308.2886,,,,,
15.9450,75.4000,,78.0058,-226.3824,-1277.4658,,,,,
15.9500,75.4600,,76.8427,-232.6279,-1249.0845,,,,,
15.9550,75.5000,,75.6490,-238.7390,-1222.2290,,,,,
15.9600,75.5000,,74.4254,-244.7235,-1196.8994,,,,,
15.9650,75.5300,,73.1724,-250.5875,-1172.7905,,,,,
15.9700,75.5900,,71.8907,-256.3354,-1149.5972,,,,,
15.9750,75.6600,,70.5809,-261.9720,-1127.3193,,,,,
15.9800,75.7000,,69.2434,-267.5003,-1105.6519,,,,,
15.9850,75.7400,,67.8788,-272.9202,-1083.9844,,,,,
15.9900,75.7600,,66.4876,-278.2333,-1062.6221,,,,,
15.9950,75.8100,,65.0704,-283.4366,-1040.6494,,,,,
16.0000,75.8800,,63.6278,-288.5277,-1018.2190,,,,,
16.0050,75.9000,,62.1603,-293.5005,-994.5679,,,,,
16.0100,75.9600,,60.6685,-298.3498,-969.8486,,,,,
16.0150,76.0000,,59.1532,-303.0678,-943.6035,,,,,
16.0200,76.0400,,57.6150,-307.6462,-915.6799,,,,,
16.0250,76.1200,,56.0546,-312.0735,-885.4675,,,,,
16.0300,76.1500,,54.4729,-316.3368,-852.6611,,,,,
16.0350,76.2000,,52.8708,-320.4231,-817.2607,,,,,
16.0400,76.2600,,51.2492,-324.3164,-778.6560,,,,,
16.0450,76.2600,,49.6092,-327.9991,-736.5417,,,,,
16.0500,76.2900,,47.9520,-331.4529,-690.7654,,,,,
16.0550,76.3400,,46.2787,-334.6565,-640.7166,,,,,
16.0600,76.4200,,44.5907,-337.5877,-586.2427,,,,,
16.0650,76.4600,,42.8896,-340.2229,-527.0386,,,,,
16.0700,76.4900,,41.1769,-342.5354,-462.4939,,,,,
16.0750,76.5400,,39.4545,-344.4984,-392.6086,,,,,
16.0800,76.5800,,37.7240,-346.0823,-316.7725,,,,,
16.0850,76.6100,,35.9878,-347.2557,-234.6802,,,,,
16.0900,76.6200,,34.2478,-347.9858,-146.0266,,,,,
